id,label,latitude,longitude,n1,n2,n3,n4,n5
404,9 Ave & W 14 St,40.7405826,-74.00550867,463,405,225,284,212
405,Washington St & Gansevoort St,40.739323,-74.008119,404,225,238,346,463
406,Hicks St & Montague St,40.69512845,-73.99595065,391,143,322,157,314
407,Henry St & Poplar St,40.700469,-73.991454,321,2000,217,216,391
408,Market St & Cherry St,40.71076228,-73.99400398,331,2009,295,296,308
409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,373,364,372,120,354
410,Suffolk St & Stanton St,40.72066442,-73.98517977,301,349,400,150,312
411,E 6 St & Avenue D,40.72228087,-73.97668709,266,302,393,394,150
412,Forsyth St & Canal St,40.7158155,-73.99422366,361,295,263,296,531
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,2000,430,321,407,418
415,Pearl St & Hanover Square,40.7047177,-74.00926027,337,260,315,351,360
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,420,353,241,274,258
417,Barclay St & Church St,40.71291224,-74.01020234,319,152,147,309,146
418,Front St & Gold St,40.70224,-73.982578,279,430,2001,414,144
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,421,242,270,119,343
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,258,416,275,397,399
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,419,343,270,242,313
422,W 59 St & 10 Ave,40.770513,-73.988038,530,480,423,499,72
423,W 54 St & 9 Ave,40.76584941,-73.98690506,449,447,480,450,468
426,West St & Chambers St,40.71754834,-74.01322069,276,309,147,327,146
427,State St,40.70251526,-74.01427023,534,259,304,260,2008
428,E 3 St & 1 Ave,40.72467721,-73.98783413,439,403,312,432,438
430,York St & Jay St,40.7014851,-73.98656928,414,2000,321,418,279
431,Hanover Pl & Livingston St,40.68864636,-73.98263429,395,324,298,243,239
432,E 7 St & Avenue A,40.72621788,-73.98379855,438,445,317,326,236
433,E 13 St & Avenue A,40.72955361,-73.98057249,511,445,504,326,432
434,9 Ave & W 18 St,40.74317449,-74.00366443,463,116,212,509,470
435,W 21 St & 6 Ave,40.74173969,-73.99415556,168,334,466,446,402
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,396,344,289,365,120
437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,436,396,344,289,365
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,236,326,432,237,445
439,E 4 St & 2 Ave,40.7262807,-73.98978041,403,300,428,236,229
440,E 45 St & 3 Ave,40.75255434,-73.97282625,164,228,2017,359,516
441,E 52 St & 2 Ave,40.756014,-73.967416,454,385,464,367,164
442,W 27 St & 7 Ave,40.746647,-73.993915,446,494,379,466,521
443,Bedford Ave & S 9th St,40.70853074,-73.96408963,389,532,481,460,2005
444,Broadway & W 24 St,40.7423543,-73.98915076,402,466,491,474,435
445,E 10 St & Avenue A,40.72740794,-73.98142006,432,433,317,326,438
446,W 24 St & 7 Ave,40.74487634,-73.99529885,494,334,453,466,435
447,8 Ave & W 52 St,40.76370739,-73.9851615,469,500,449,450,423
448,W 37 St & 10 Ave,40.75660359,-73.9979009,488,525,478,515,523
449,W 52 St & 9 Ave,40.76461837,-73.98789473,423,447,450,480,469
450,W 49 St & 8 Ave,40.76227205,-73.98788205,449,447,2021,173,479
453,W 22 St & 8 Ave,40.74475148,-73.99915362,470,509,334,446,494
454,E 51 St & 1 Ave,40.75455731,-73.96592976,441,516,385,164,228
455,1 Ave & E 44 St,40.75001986,-73.96905301,2017,516,164,440,518
